"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2021","89,58","93,90","94,00","87,31","132,56M","-4,47%"
"07.02.2021","93,77","88,31","94,22","87,98","201,79M","6,68%"
"31.01.2021","87,90","86,83","89,48","84,66","169,58M","2,64%"
"24.01.2021","85,64","94,14","95,74","85,02","291,66M","-7,71%"
"17.01.2021","92,79","89,56","95,95","87,24","206,19M","5,19%"
"10.01.2021","88,21","94,03","99,23","87,86","279,80M","-6,74%"
"03.01.2021","94,58","92,11","96,40","89,46","220,64M","3,13%"
"27.12.2020","91,71","92,93","93,14","89,43","113,15M","-0,11%"
"20.12.2020","91,81","94,25","95,28","90,53","125,51M","-4,28%"
"13.12.2020","95,92","92,21","97,98","91,85","224,09M","4,66%"
"06.12.2020","91,65","94,95","95,00","89,03","188,07M","-2,54%"
"29.11.2020","94,04","87,33","96,37","86,53","282,57M","7,86%"
"22.11.2020","87,19","85,52","88,00","83,32","147,41M","3,01%"
"15.11.2020","84,64","81,21","86,10","80,48","183,21M","3,94%"
"08.11.2020","81,43","84,24","87,05","77,63","238,08M","-5,18%"
"01.11.2020","85,88","75,85","86,09","73,76","253,94M","14,07%"
"25.10.2020","75,29","82,55","84,97","74,23","406,83M","-8,14%"
"18.10.2020","81,96","83,62","84,65","78,42","195,90M","-1,45%"
"11.10.2020","83,17","83,65","86,09","82,41","196,05M","0,08%"
"04.10.2020","83,10","82,55","88,72","82,35","277,42M","1,59%"
"27.09.2020","81,80","79,12","85,25","77,52","266,20M","4,80%"
"20.09.2020","78,06","74,23","78,79","73,88","265,43M","4,17%"
"13.09.2020","74,93","76,80","80,33","73,85","250,47M","-1,85%"
"06.09.2020","76,34","78,05","83,31","75,04","215,38M","-6,91%"
"30.08.2020","82,01","85,05","94,28","76,33","366,87M","-4,14%"
"23.08.2020","85,55","84,55","87,72","82,35","217,34M","2,08%"
"16.08.2020","83,81","82,09","84,41","79,12","191,16M","3,09%"
"09.08.2020","81,30","85,05","85,16","76,10","336,82M","-4,18%"
"02.08.2020","84,85","78,19","87,29","77,06","384,55M","9,58%"
"26.07.2020","77,43","69,28","78,96","67,02","487,06M","11,57%"
"19.07.2020","69,40","55,23","69,94","54,83","537,14M","26,09%"
"12.07.2020","55,04","56,68","58,35","52,26","226,59M","-1,50%"
"05.07.2020","55,88","52,90","58,15","52,07","251,59M","6,76%"
"28.06.2020","52,34","50,15","53,19","48,42","153,63M","4,47%"
"21.06.2020","50,10","54,67","55,37","49,45","262,94M","-7,62%"
