"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2021","2.577,5","2.607,5","2.678,0","2.543,0","1,93M","-0,94%"
"07.02.2021","2.602,0","2.644,0","2.669,5","2.540,0","1,90M","-1,79%"
"31.01.2021","2.649,5","2.707,5","2.729,5","2.616,5","1,61M","-1,52%"
"24.01.2021","2.690,5","2.804,5","2.828,0","2.679,5","1,21M","-3,91%"
"17.01.2021","2.800,0","2.700,0","2.835,0","2.692,5","1,38M","3,40%"
"10.01.2021","2.708,0","2.813,5","2.850,0","2.687,0","1,58M","-4,31%"
"03.01.2021","2.830,0","2.753,5","2.887,0","2.741,5","1,54M","2,95%"
"27.12.2020","2.749,0","2.734,5","2.765,0","2.727,0","549,17K","0,64%"
"20.12.2020","2.731,5","2.747,0","2.770,0","2.653,0","1,23M","-0,31%"
"13.12.2020","2.740,0","2.865,0","2.909,0","2.720,0","2,31M","-4,13%"
"06.12.2020","2.858,0","2.782,0","2.888,0","2.702,5","2,34M","2,58%"
"29.11.2020","2.786,0","2.769,5","2.860,0","2.710,0","2,22M","0,40%"
"22.11.2020","2.775,0","2.673,5","2.799,0","2.580,0","2,86M","3,74%"
"15.11.2020","2.675,0","2.798,0","2.812,0","2.657,5","1,33M","-3,66%"
"08.11.2020","2.776,5","2.860,5","2.897,5","2.658,0","1,91M","-2,46%"
"01.11.2020","2.846,5","2.788,0","2.893,5","2.729,0","1,20M","2,52%"
"25.10.2020","2.776,5","2.999,0","3.087,0","2.701,0","1,68M","-7,28%"
"18.10.2020","2.994,5","3.081,0","3.140,0","2.926,0","798,37K","-2,46%"
"11.10.2020","3.070,0","2.834,5","3.087,0","2.821,0","1,05M","8,67%"
"04.10.2020","2.825,0","2.890,0","2.938,5","2.810,0","674,30K","-1,57%"
"27.09.2020","2.870,0","2.982,5","3.015,0","2.806,0","710,01K","-3,20%"
"20.09.2020","2.965,0","2.828,0","3.050,0","2.806,0","1,40M","5,09%"
"13.09.2020","2.821,5","2.613,5","2.861,0","2.593,5","1,42M","8,62%"
"06.09.2020","2.597,5","2.679,0","2.709,5","2.561,5","841,58K","-2,79%"
"30.08.2020","2.672,0","2.724,5","2.750,0","2.577,0","1,12M","-1,51%"
"23.08.2020","2.713,0","2.790,5","2.884,5","2.690,0","606,61K","-2,76%"
"16.08.2020","2.790,0","2.838,0","2.882,0","2.772,5","699,93K","-1,34%"
"09.08.2020","2.828,0","2.840,5","2.889,0","2.751,0","1,01M","-0,58%"
"02.08.2020","2.844,5","2.780,0","2.859,0","2.601,0","587,98K","2,32%"
"26.07.2020","2.780,0","2.790,0","2.875,0","2.760,0","757,65K","-0,36%"
"19.07.2020","2.790,0","2.521,0","2.796,5","2.475,0","1,12M","10,65%"
"12.07.2020","2.521,5","2.536,5","2.578,0","2.430,5","866,40K","-1,10%"
"05.07.2020","2.549,5","2.571,0","2.679,0","2.460,0","1,17M","-0,64%"
"28.06.2020","2.566,0","2.486,0","2.576,5","2.460,5","700,24K","3,38%"
"21.06.2020","2.482,0","2.276,5","2.492,0","2.222,0","1,18M","8,74%"
"14.06.2020","2.282,5","2.352,0","2.398,0","2.232,0","1,57M","-2,67%"
"07.06.2020","2.345,0","2.130,0","2.421,0","2.052,0","2,88M","10,30%"
"31.05.2020","2.126,0","2.037,0","2.185,0","2.037,0","1,47M","1,77%"
"24.05.2020","2.089,0","2.204,0","2.254,0","2.080,0","2,28M","-4,72%"
"17.05.2020","2.192,5","2.161,5","2.225,5","2.161,5","1,21M","1,93%"
"10.05.2020","2.151,0","2.225,5","2.258,5","2.151,0","807,88K","-3,41%"
"03.05.2020","2.227,0","2.178,0","2.270,0","2.138,0","1,05M","1,20%"
"26.04.2020","2.200,5","2.160,0","2.240,0","2.151,5","906,70K","2,49%"
"19.04.2020","2.147,0","2.119,5","2.237,0","2.028,5","1,55M","1,61%"
"12.04.2020","2.113,0","2.200,0","2.239,0","2.080,0","1,32M","-4,99%"
"05.04.2020","2.224,0","2.249,0","2.432,0","2.183,0","1,55M","-0,27%"
"29.03.2020","2.230,0","1.980,0","2.500,0","1.960,0","1,67M","12,74%"
"22.03.2020","1.978,0","1.991,5","2.258,0","1.851,0","2,55M","1,36%"
"15.03.2020","1.951,5","1.740,0","2.045,5","1.634,5","2,85M","10,85%"
"08.03.2020","1.760,5","1.900,0","1.954,0","1.609,5","1,95M","-11,98%"
"01.03.2020","2.000,0","2.111,5","2.166,0","1.998,0","1,60M","-3,40%"
"23.02.2020","2.070,5","2.223,0","2.264,5","1.893,0","1,40M","-8,06%"
"16.02.2020","2.252,0","2.150,0","2.281,5","2.135,0","643,10K","4,65%"
"09.02.2020","2.152,0","2.238,5","2.258,5","2.128,0","1,02M","-3,76%"
"02.02.2020","2.236,0","2.330,5","2.375,5","2.218,5","1,21M","-4,24%"
"26.01.2020","2.335,0","2.170,0","2.377,0","2.140,0","1,25M","6,50%"
"19.01.2020","2.192,5","2.110,0","2.192,5","2.061,0","1,72M","3,91%"
"12.01.2020","2.110,0","2.197,0","2.224,5","2.085,0","1,05M","-4,18%"
"05.01.2020","2.202,0","2.130,0","2.205,0","2.069,0","655,65K","3,36%"
"29.12.2019","2.130,5","2.130,0","2.139,5","2.100,0","242,82K","-0,02%"
"22.12.2019","2.131,0","2.086,0","2.137,5","2.082,0","397,43K","2,35%"
"15.12.2019","2.082,0","2.237,5","2.238,0","2.055,5","951,87K","-6,95%"
"08.12.2019","2.237,5","2.090,0","2.248,5","2.070,0","684,20K","7,06%"
"01.12.2019","2.090,0","2.144,0","2.159,5","2.037,0","456,31K","-2,52%"
"24.11.2019","2.144,0","2.150,0","2.173,0","2.098,0","648,78K","-0,23%"
"17.11.2019","2.149,0","2.161,5","2.209,0","2.085,0","506,88K","-0,39%"
