"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2021","539,36","556,52","563,45","538,44","2,43M","-3,08%"
"07.02.2021","556,52","555,00","566,65","543,00","15,41M","1,04%"
"31.01.2021","550,79","536,79","559,48","531,73","18,03M","3,46%"
"24.01.2021","532,39","567,00","569,75","515,73","31,20M","-5,80%"
"17.01.2021","565,17","501,00","593,29","493,54","64,34M","13,49%"
"10.01.2021","497,98","507,84","514,50","485,67","24,91M","-2,43%"
"03.01.2021","510,40","539,00","540,80","499,50","19,58M","-5,61%"
"27.12.2020","540,73","516,43","545,50","507,13","14,18M","5,21%"
"20.12.2020","513,97","530,05","532,62","512,21","9,34M","-3,83%"
"13.12.2020","534,45","505,44","536,37","501,18","20,55M","6,21%"
"06.12.2020","503,22","500,01","521,49","491,29","18,93M","0,99%"
"29.11.2020","498,31","490,08","509,47","481,27","18,11M","1,41%"
"22.11.2020","491,36","490,46","493,25","475,84","15,38M","0,64%"
"15.11.2020","488,24","480,00","494,76","477,30","17,79M","1,12%"
"08.11.2020","482,84","485,54","496,52","463,41","32,26M","-6,20%"
"01.11.2020","514,73","478,87","518,73","475,00","22,84M","8,20%"
"25.10.2020","475,74","487,02","513,90","472,21","34,74M","-2,57%"
"18.10.2020","488,28","537,07","541,80","481,35","46,95M","-8,01%"
"11.10.2020","530,79","548,81","572,49","530,03","31,96M","-1,60%"
"04.10.2020","539,44","506,80","544,28","501,70","26,44M","7,23%"
"27.09.2020","503,06","489,11","529,55","477,88","27,18M","4,18%"
"20.09.2020","482,88","467,69","491,82","466,32","20,16M","2,75%"
"13.09.2020","469,96","480,62","504,66","458,60","29,19M","-2,50%"
"06.09.2020","482,03","498,40","522,00","476,81","23,70M","-6,59%"
"30.08.2020","516,05","521,16","557,39","485,98","37,75M","-1,50%"
"23.08.2020","523,89","495,44","549,04","483,16","44,34M","6,41%"
"16.08.2020","492,31","484,19","498,94","479,10","18,14M","2,00%"
"09.08.2020","482,68","493,35","497,46","466,55","23,41M","-2,44%"
"02.08.2020","494,73","490,86","510,82","486,68","25,43M","1,20%"
"26.07.2020","488,88","484,51","497,79","477,51","32,99M","1,75%"
"19.07.2020","480,45","489,14","506,22","467,54","43,49M","-2,54%"
"12.07.2020","492,99","567,98","575,37","484,14","93,04M","-10,16%"
"05.07.2020","548,73","480,77","555,88","479,80","46,65M","15,06%"
"28.06.2020","476,89","445,23","492,28","432,14","25,10M","7,55%"
"21.06.2020","443,40","455,01","474,01","442,24","27,99M","-2,27%"
"14.06.2020","453,72","421,40","453,97","415,42","26,73M","8,53%"
"07.06.2020","418,07","416,00","445,57","406,50","31,47M","-0,36%"
"31.05.2020","419,60","418,83","428,71","404,25","22,07M","-0,03%"
"24.05.2020","419,73","427,77","428,50","397,86","29,26M","-2,23%"
"17.05.2020","429,32","451,16","458,97","427,18","32,74M","-5,48%"
"10.05.2020","454,19","436,33","455,00","427,27","33,35M","4,28%"
"03.05.2020","435,55","417,78","442,00","414,87","31,45M","4,88%"
"26.04.2020","415,27","425,00","429,00","393,60","42,33M","-2,29%"
"19.04.2020","424,99","435,17","447,00","413,00","79,58M","0,48%"
"12.04.2020","422,96","371,31","449,52","367,70","65,58M","14,09%"
"05.04.2020","370,72","365,22","381,33","361,71","29,85M","2,48%"
"29.03.2020","361,76","363,00","383,01","357,51","34,11M","1,30%"
"22.03.2020","357,12","347,89","372,93","339,17","49,04M","7,30%"
"15.03.2020","332,83","306,63","350,49","290,25","54,64M","-1,03%"
"08.03.2020","336,30","343,86","364,54","307,32","42,60M","-8,85%"
"01.03.2020","368,97","373,11","393,52","356,85","37,74M","-0,02%"
"23.02.2020","369,03","364,76","391,56","356,80","44,53M","-2,90%"
"16.02.2020","380,07","379,30","392,95","376,68","18,09M","-0,09%"
"09.02.2020","380,40","365,00","385,37","362,52","22,91M","3,72%"
"02.02.2020","366,77","347,24","375,25","346,28","28,58M","6,28%"
"26.01.2020","345,09","345,95","352,40","338,55","32,74M","-2,29%"
"19.01.2020","353,16","340,00","359,85","323,60","72,22M","3,97%"
"12.01.2020","339,67","331,80","345,38","331,51","29,74M","3,23%"
"05.01.2020","329,05","323,12","343,42","321,20","26,96M","0,97%"
"29.12.2019","325,90","329,08","329,98","321,09","16,17M","-0,97%"
"22.12.2019","329,09","337,76","337,95","326,01","16,42M","-2,32%"
"15.12.2019","336,90","300,85","338,00","298,63","46,06M","12,86%"
"08.12.2019","298,50","307,35","311,49","292,02","30,51M","-2,88%"
"01.12.2019","307,35","314,39","314,39","298,81","24,09M","-2,32%"
"24.11.2019","314,66","308,83","316,82","305,25","19,72M","1,35%"
"17.11.2019","310,48","296,00","312,69","293,28","33,12M","5,24%"
"10.11.2019","295,03","289,16","296,36","281,14","31,83M","1,19%"
"03.11.2019","291,57","288,00","298,19","285,84","23,50M","1,66%"
"27.10.2019","286,81","278,05","293,49","277,35","30,63M","3,61%"
"20.10.2019","276,82","272,89","279,94","265,80","41,31M","0,55%"
"13.10.2019","275,30","283,93","308,75","273,36","93,60M","-2,70%"
