"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2021","266,99","268,49","275,01","264,19","58,73M","0,37%"
"07.02.2021","266,00","273,01","276,29","258,55","327,22M","-2,10%"
"31.01.2021","271,70","260,00","272,57","258,73","371,05M","5,27%"
"24.01.2021","258,11","271,00","273,80","257,36","491,03M","-3,78%"
"17.01.2021","268,25","275,72","282,80","266,78","348,68M","-3,12%"
"10.01.2021","276,90","282,86","296,07","276,00","407,32M","-2,38%"
"03.01.2021","283,64","274,67","283,99","270,28","224,38M","4,41%"
"27.12.2020","271,65","270,90","276,43","269,73","109,60M","0,37%"
"20.12.2020","270,64","266,20","272,82","257,05","348,55M","0,18%"
"13.12.2020","270,16","285,01","287,74","268,52","420,77M","-4,78%"
"06.12.2020","283,73","269,00","284,60","268,10","399,05M","5,09%"
"29.11.2020","270,00","249,72","270,84","245,98","494,54M","7,32%"
"22.11.2020","251,59","240,45","252,88","238,52","424,09M","5,08%"
"15.11.2020","239,42","244,14","249,84","236,57","414,90M","-1,47%"
"08.11.2020","242,99","220,00","245,98","218,70","939,57M","11,72%"
"01.11.2020","217,50","200,45","218,65","196,15","420,26M","8,21%"
"25.10.2020","200,99","213,40","214,45","200,61","365,34M","-6,30%"
"18.10.2020","214,50","201,55","214,73","201,55","333,07M","6,63%"
"11.10.2020","201,17","205,97","208,49","200,50","287,95M","-2,05%"
"04.10.2020","205,38","209,65","212,99","204,40","310,25M","-1,64%"
"27.09.2020","208,80","228,79","230,75","206,50","425,69M","-8,52%"
"20.09.2020","228,24","229,88","232,10","223,49","350,47M","-0,89%"
"13.09.2020","230,30","222,31","232,60","222,13","268,17M","4,18%"
"06.09.2020","221,07","221,50","224,20","215,79","294,31M","-0,51%"
"30.08.2020","222,21","227,00","229,71","216,75","317,56M","-1,81%"
"23.08.2020","226,30","232,50","233,70","224,70","271,09M","-2,13%"
"16.08.2020","231,22","240,80","242,35","227,35","407,97M","-3,65%"
"09.08.2020","239,99","227,96","244,04","224,51","356,39M","5,59%"
"02.08.2020","227,28","222,27","229,17","221,30","227,02M","2,58%"
"26.07.2020","221,57","216,70","221,98","215,15","215,25M","2,59%"
"19.07.2020","215,97","210,27","219,28","197,73","265,59M","2,45%"
"12.07.2020","210,81","213,87","214,20","205,70","242,07M","-0,69%"
"05.07.2020","212,28","212,97","216,79","206,57","238,15M","0,63%"
"28.06.2020","210,95","201,00","211,97","200,97","213,86M","3,84%"
"21.06.2020","203,15","206,70","209,74","200,75","230,34M","-1,86%"
"14.06.2020","207,00","205,07","212,19","202,30","346,46M","-0,65%"
"07.06.2020","208,35","219,80","223,15","206,01","319,92M","-4,91%"
"31.05.2020","219,10","203,10","221,92","201,81","538,72M","9,28%"
"24.05.2020","200,50","189,62","205,00","188,80","442,36M","6,14%"
"17.05.2020","188,90","186,33","196,31","185,40","412,77M","2,75%"
"10.05.2020","183,85","193,30","198,00","183,33","270,95M","-6,21%"
"03.05.2020","196,02","195,68","198,15","193,26","232,96M","-0,62%"
"26.04.2020","197,25","189,98","199,70","188,17","279,34M","4,41%"
"19.04.2020","188,91","190,60","192,50","183,65","349,98M","-1,51%"
"12.04.2020","191,80","202,00","202,85","183,53","400,57M","-5,04%"
"05.04.2020","201,99","187,52","205,44","186,42","443,01M","8,81%"
"29.03.2020","185,64","177,00","189,90","174,90","503,69M","2,92%"
"22.03.2020","180,38","188,00","201,00","180,17","676,63M","-7,82%"
"15.03.2020","195,69","194,00","204,78","172,15","871,44M","-1,47%"
"08.03.2020","198,60","197,99","212,74","173,14","843,86M","-9,72%"
"01.03.2020","219,99","238,93","241,00","216,67","401,45M","-5,73%"
"23.02.2020","233,36","247,98","251,21","231,00","291,69M","-6,95%"
"16.02.2020","250,80","252,50","253,10","247,24","147,07M","-0,38%"
"09.02.2020","251,75","254,55","259,77","251,40","233,95M","-1,00%"
"02.02.2020","254,30","251,80","258,00","248,73","247,11M","0,83%"
"26.01.2020","252,20","261,00","262,10","252,17","219,33M","-5,01%"
"19.01.2020","265,49","263,20","270,80","261,80","180,11M","1,14%"
"12.01.2020","262,50","258,30","263,22","254,21","191,50M","1,67%"
"05.01.2020","258,19","254,75","261,76","251,40","120,35M","1,25%"
"29.12.2019","255,00","252,10","258,19","250,73","79,01M","1,17%"
"22.12.2019","252,06","244,71","252,95","244,07","97,95M","3,00%"
"15.12.2019","244,71","242,48","248,40","240,13","208,14M","1,45%"
"08.12.2019","241,21","235,50","243,25","234,30","181,38M","2,58%"
"01.12.2019","235,14","234,59","236,37","229,03","135,71M","0,50%"
"24.11.2019","233,98","238,68","239,75","231,97","143,93M","-1,74%"
"17.11.2019","238,13","240,57","241,23","235,80","148,42M","-0,78%"
"10.11.2019","240,00","239,00","243,74","235,81","159,14M","-0,07%"
"03.11.2019","240,17","239,60","242,95","236,52","152,36M","1,59%"
"27.10.2019","236,40","240,50","242,33","232,80","223,69M","-1,50%"
"20.10.2019","240,00","236,00","242,78","234,04","193,59M","1,89%"
"13.10.2019","235,55","230,29","236,03","227,00","193,34M","2,28%"
"06.10.2019","230,31","223,13","231,20","222,41","180,10M","3,39%"
"29.09.2019","222,76","228,50","229,56","221,87","173,14M","-2,32%"
"22.09.2019","228,05","231,70","232,17","225,30","160,39M","-1,70%"
"15.09.2019","232,00","235,00","237,20","230,72","201,03M","-0,43%"
"08.09.2019","233,00","229,88","235,90","227,10","187,21M","1,74%"
"01.09.2019","229,02","224,10","231,20","222,05","218,01M","2,15%"
"25.08.2019","224,20","217,50","225,20","215,61","210,99M","2,14%"
"18.08.2019","219,50","217,00","223,10","214,06","218,29M","2,07%"
"11.08.2019","215,05","222,38","225,75","212,88","234,32M","-2,55%"
"04.08.2019","220,67","219,72","227,60","219,45","210,42M","-0,06%"
"28.07.2019","220,81","230,75","237,55","220,30","254,91M","-4,22%"
"21.07.2019","230,55","233,00","234,65","228,52","160,68M","-0,99%"
"14.07.2019","232,85","237,90","238,59","232,25","172,59M","-1,76%"
"07.07.2019","237,02","242,13","245,50","236,37","177,46M","-2,39%"
"30.06.2019","242,83","240,98","243,90","239,70","165,26M","1,79%"
"23.06.2019","238,55","239,06","242,44","234,20","187,56M","0,22%"
"16.06.2019","238,02","239,00","244,99","236,36","241,97M","-0,33%"
"09.06.2019","238,80","249,55","250,65","232,55","256,30M","-3,82%"
"02.06.2019","248,28","231,18","249,00","230,35","337,17M","6,45%"
"26.05.2019","233,24","235,28","237,47","229,21","243,68M","-0,52%"
"19.05.2019","234,45","228,23","237,40","225,10","266,14M","3,31%"
"12.05.2019","226,94","226,51","231,45","224,15","253,47M","-0,03%"
"05.05.2019","227,00","228,75","234,34","226,11","181,71M","-2,37%"
"28.04.2019","232,52","223,70","233,00","223,05","196,47M","4,18%"
"21.04.2019","223,18","233,70","237,56","222,08","339,71M","-4,05%"
"14.04.2019","232,60","240,35","242,30","230,84","272,59M","-2,88%"
"07.04.2019","239,50","227,93","247,23","227,90","519,30M","5,27%"
"31.03.2019","227,50","215,05","227,70","215,01","323,79M","6,10%"
"24.03.2019","214,42","206,63","219,25","205,55","394,95M","3,24%"
"17.03.2019","207,70","204,25","212,29","204,11","260,64M","2,04%"
"10.03.2019","203,55","203,20","206,89","202,56","193,15M","-0,20%"
"03.03.2019","203,95","207,00","207,50","202,25","177,10M","-1,25%"
"24.02.2019","206,54","205,50","209,00","202,90","284,35M","0,63%"
