"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2021","136,66","141,61","142,20","133,40","46,59M","-1,01%"
"07.02.2021","138,06","128,70","139,80","128,70","54,75M","8,05%"
"31.01.2021","127,78","124,54","130,25","123,38","42,83M","5,15%"
"24.01.2021","121,52","131,83","132,17","120,55","83,60M","-5,90%"
"17.01.2021","129,14","130,59","136,13","128,44","72,58M","3,12%"
"10.01.2021","125,23","119,74","134,65","118,00","101,31M","5,51%"
"03.01.2021","118,69","111,47","126,29","110,44","64,99M","8,85%"
"27.12.2020","109,04","107,60","109,70","105,22","24,24M","2,90%"
"20.12.2020","105,97","103,56","106,34","102,91","18,21M","1,62%"
"13.12.2020","104,28","103,77","106,38","103,15","34,47M","0,24%"
"06.12.2020","104,03","106,02","107,84","102,20","44,50M","0,29%"
"29.11.2020","103,73","97,56","104,30","96,20","56,87M","5,05%"
"22.11.2020","98,74","97,16","99,27","96,02","25,39M","3,58%"
"15.11.2020","95,33","96,42","102,44","95,30","48,69M","2,26%"
"08.11.2020","93,22","92,20","93,81","86,70","41,70M","1,98%"
"01.11.2020","91,41","84,60","91,50","84,53","33,57M","8,99%"
"25.10.2020","83,87","87,21","87,78","83,16","30,42M","-5,03%"
"18.10.2020","88,31","88,34","89,62","87,29","32,57M","1,86%"
"11.10.2020","86,70","89,12","91,27","86,44","44,26M","-2,34%"
"04.10.2020","88,78","81,55","88,86","81,55","47,90M","9,88%"
"27.09.2020","80,80","80,31","82,72","79,31","30,40M","2,43%"
"20.09.2020","78,88","79,80","80,89","76,17","39,89M","-1,68%"
"13.09.2020","80,23","80,50","86,79","79,95","63,26M","1,79%"
"06.09.2020","78,82","78,02","81,23","77,22","38,52M","-0,11%"
"30.08.2020","78,91","79,00","82,71","77,41","66,32M","-1,90%"
"23.08.2020","80,44","79,73","82,31","78,49","34,06M","2,68%"
"16.08.2020","78,34","79,80","80,89","75,98","42,84M","-0,09%"
"09.08.2020","78,41","80,55","80,85","77,73","35,00M","-2,02%"
"02.08.2020","80,03","77,77","84,00","77,41","55,70M","1,45%"
"26.07.2020","78,89","81,36","83,40","76,49","128,55M","6,75%"
