"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.02.2021","99,52","96,62","100,85","96,17","98,31M","2,65%"
"14.02.2021","96,95","105,50","106,20","95,83","109,53M","-7,62%"
"07.02.2021","104,95","102,40","105,89","102,13","86,65M","2,57%"
"31.01.2021","102,32","100,10","104,45","98,55","85,39M","3,12%"
"24.01.2021","99,22","104,00","104,65","98,49","116,19M","-4,07%"
"17.01.2021","103,43","104,20","106,59","101,60","101,77M","-0,65%"
"10.01.2021","104,11","104,90","108,88","102,67","142,24M","-0,06%"
"03.01.2021","104,17","99,18","104,25","98,10","60,03M","5,22%"
"27.12.2020","99,00","97,00","99,40","96,82","28,41M","1,95%"
"20.12.2020","97,11","94,60","98,92","92,64","70,77M","2,67%"
"13.12.2020","94,58","92,75","98,79","89,68","142,34M","2,69%"
"06.12.2020","92,10","91,40","94,49","90,69","96,32M","0,61%"
"29.11.2020","91,54","89,65","92,16","86,94","117,52M","1,12%"
"22.11.2020","90,53","88,72","91,00","83,60","136,32M","2,43%"
"15.11.2020","88,38","81,85","91,20","81,75","155,93M","8,84%"
"08.11.2020","81,20","77,36","81,94","76,76","114,12M","5,76%"
"01.11.2020","76,78","70,95","77,60","70,08","67,94M","8,52%"
"25.10.2020","70,75","74,72","75,89","69,23","80,22M","-5,59%"
"18.10.2020","74,94","76,00","76,43","73,87","36,97M","-1,39%"
"11.10.2020","76,00","75,60","78,44","75,00","74,72M","0,78%"
"04.10.2020","75,41","74,40","78,64","73,42","105,13M","1,74%"
"27.09.2020","74,12","71,98","74,58","71,22","96,12M","3,03%"
"20.09.2020","71,94","75,71","77,06","70,66","106,17M","-5,71%"
"13.09.2020","76,30","75,06","77,25","73,23","119,61M","1,81%"
"06.09.2020","74,94","67,68","74,96","66,70","140,85M","10,34%"
"30.08.2020","67,92","67,31","68,76","65,65","90,70M","1,10%"
"23.08.2020","67,18","66,66","68,14","66,24","48,43M","1,13%"
"16.08.2020","66,43","67,82","67,85","65,01","85,51M","-2,28%"
"09.08.2020","67,98","69,94","71,20","67,50","96,45M","-1,26%"
"02.08.2020","68,85","68,65","70,37","67,57","81,92M","0,85%"
"26.07.2020","68,27","65,44","68,64","64,93","107,00M","5,13%"
"19.07.2020","64,94","63,80","65,92","63,19","70,19M","1,41%"
"12.07.2020","64,04","64,15","64,85","61,85","59,16M","-0,25%"
"05.07.2020","64,20","65,82","66,98","63,18","90,81M","-2,24%"
"28.06.2020","65,67","62,91","65,79","62,91","45,66M","3,84%"
"21.06.2020","63,24","64,38","64,83","62,83","61,92M","-1,53%"
"14.06.2020","64,22","62,39","65,33","61,27","131,78M","2,02%"
"07.06.2020","62,95","65,50","67,81","62,62","103,29M","-3,23%"
"31.05.2020","65,05","66,26","70,34","64,73","148,74M","-1,44%"
"24.05.2020","66,00","64,00","67,95","63,75","114,45M","3,43%"
"17.05.2020","63,81","60,47","65,00","60,38","107,37M","6,67%"
"10.05.2020","59,82","62,54","63,73","59,82","69,45M","-4,13%"
"03.05.2020","62,40","61,68","63,34","60,81","70,37M","0,32%"
"26.04.2020","62,20","61,40","65,33","61,25","98,26M","1,78%"
"19.04.2020","61,11","60,79","63,68","59,04","117,82M","0,54%"
"12.04.2020","60,78","66,10","66,35","58,50","133,91M","-8,39%"
"05.04.2020","66,35","62,50","67,40","61,64","117,55M","7,73%"
"29.03.2020","61,59","55,77","65,40","54,47","169,00M","8,24%"
"22.03.2020","56,90","55,55","63,92","54,01","168,29M","-0,70%"
"15.03.2020","57,30","63,89","65,50","51,01","221,46M","-8,74%"
"08.03.2020","62,79","63,69","73,98","62,37","172,66M","-11,25%"
"01.03.2020","70,75","73,35","73,57","67,44","123,87M","-0,90%"
"23.02.2020","71,39","81,50","86,03","67,56","159,00M","-14,19%"
"16.02.2020","83,20","81,87","83,75","80,37","59,87M","1,25%"
"09.02.2020","82,17","84,59","84,74","79,87","91,58M","-2,79%"
"02.02.2020","84,53","80,00","85,36","79,66","101,32M","5,40%"
"26.01.2020","80,20","89,55","89,85","80,05","116,80M","-11,37%"
"19.01.2020","90,49","91,40","92,64","89,63","86,82M","-1,48%"
"12.01.2020","91,85","89,64","92,52","88,38","91,39M","2,86%"
"05.01.2020","89,30","85,35","89,38","84,32","43,86M","4,65%"
"29.12.2019","85,33","84,30","85,74","84,10","15,07M","0,99%"
"22.12.2019","84,49","85,19","85,98","82,83","34,24M","-0,96%"
"15.12.2019","85,31","80,50","85,35","80,04","87,08M","5,58%"
"08.12.2019","80,80","75,90","82,17","75,90","107,72M","4,88%"
"01.12.2019","77,04","77,93","78,17","74,95","45,55M","-1,10%"
"24.11.2019","77,90","77,58","78,68","76,66","54,34M","0,41%"
"17.11.2019","77,58","77,70","77,99","74,90","62,40M","-0,06%"
"10.11.2019","77,63","76,15","77,75","74,55","57,06M","1,93%"
"03.11.2019","76,16","75,70","76,97","73,74","64,15M","0,91%"
"27.10.2019","75,47","70,20","75,47","69,71","86,58M","7,74%"
"20.10.2019","70,05","73,35","73,84","69,88","70,46M","-4,82%"
"13.10.2019","73,60","70,84","74,73","67,36","103,84M","4,25%"
"06.10.2019","70,60","74,06","74,31","69,89","91,47M","-4,72%"
"29.09.2019","74,10","72,92","76,38","72,81","68,05M","1,66%"
"22.09.2019","72,89","74,51","74,52","71,72","52,62M","-1,87%"
"15.09.2019","74,28","75,75","77,98","74,28","74,00M","-2,52%"
"08.09.2019","76,20","75,60","76,50","74,56","60,12M","1,06%"
"01.09.2019","75,40","74,28","76,28","74,06","62,18M","1,54%"
"25.08.2019","74,26","71,15","74,26","70,90","67,55M","4,01%"
"18.08.2019","71,40","71,75","73,75","70,16","87,01M","-0,35%"
"11.08.2019","71,65","75,00","75,80","69,18","116,51M","-4,47%"
"04.08.2019","75,00","78,98","79,34","74,26","74,09M","-5,06%"
"28.07.2019","79,00","81,94","82,28","78,92","66,74M","-3,53%"
"21.07.2019","81,89","78,75","82,40","77,52","78,39M","4,05%"
"14.07.2019","78,70","79,89","80,61","78,70","77,68M","-1,01%"
"07.07.2019","79,50","86,82","87,45","78,45","107,84M","-8,52%"
"30.06.2019","86,90","86,50","87,30","84,04","102,70M","1,00%"
"23.06.2019","86,04","90,10","90,36","86,03","74,50M","-4,52%"
"16.06.2019","90,11","85,33","90,87","83,69","102,96M","5,89%"
"09.06.2019","85,10","88,80","89,44","84,66","74,55M","-4,17%"
"02.06.2019","88,80","88,25","89,87","87,81","44,38M","0,74%"
"26.05.2019","88,15","90,13","90,61","87,48","62,40M","-2,20%"
"19.05.2019","90,13","92,31","92,31","88,21","68,20M","-1,92%"
"12.05.2019","91,89","95,59","96,25","91,89","44,22M","-3,80%"
"05.05.2019","95,52","95,50","96,74","94,75","31,81M","-0,08%"
"28.04.2019","95,60","94,00","96,25","93,51","18,17M","1,70%"
"21.04.2019","94,00","95,73","96,30","93,87","42,41M","-1,87%"
"14.04.2019","95,79","94,60","96,50","93,60","28,95M","1,26%"
"07.04.2019","94,60","94,55","94,90","93,31","30,15M","-0,11%"
"31.03.2019","94,70","92,60","94,70","92,50","30,41M","2,47%"
"24.03.2019","92,42","95,17","96,85","92,17","41,45M","-2,97%"
"17.03.2019","95,25","95,76","97,42","94,86","43,62M","-0,16%"
"10.03.2019","95,40","92,62","96,74","92,43","62,74M","3,10%"
"03.03.2019","92,53","95,06","95,86","92,00","38,68M","-2,50%"
"24.02.2019","94,90","95,57","97,60","94,83","44,84M","-0,60%"
