"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.02.2021","91,53","89,53","93,10","82,44","105,90M","0,63%"
"14.02.2021","90,96","89,22","91,49","84,90","61,41M","3,35%"
"07.02.2021","88,01","81,75","88,32","81,30","65,65M","8,52%"
"31.01.2021","81,10","79,59","82,53","78,48","66,22M","3,62%"
"24.01.2021","78,27","83,19","83,50","74,33","92,76M","-4,87%"
"17.01.2021","82,28","81,28","87,25","80,96","76,73M","1,93%"
"10.01.2021","80,72","76,59","82,21","76,42","85,20M","4,26%"
"03.01.2021","77,42","76,48","84,16","73,75","166,18M","2,98%"
"27.12.2020","75,18","71,79","75,68","69,14","52,58M","6,52%"
"20.12.2020","70,58","70,00","71,78","69,65","37,72M","-1,23%"
"13.12.2020","71,46","71,40","74,35","71,03","74,91M","1,32%"
"06.12.2020","70,53","73,29","74,61","69,40","82,19M","-3,83%"
"29.11.2020","73,34","64,56","74,38","63,58","132,20M","14,18%"
"22.11.2020","64,23","62,61","64,80","62,30","63,21M","4,61%"
"15.11.2020","61,40","59,72","62,63","59,61","94,68M","5,99%"
"08.11.2020","57,93","56,47","58,19","54,36","78,35M","5,02%"
"01.11.2020","55,16","50,79","55,41","49,44","68,38M","9,57%"
"25.10.2020","50,34","52,40","52,89","49,30","64,49M","-4,75%"
"18.10.2020","52,85","51,97","54,85","51,30","85,46M","2,40%"
"11.10.2020","51,61","50,58","52,75","50,08","79,42M","3,45%"
"04.10.2020","49,89","46,99","50,60","46,98","77,25M","7,18%"
"27.09.2020","46,55","49,63","51,38","46,50","155,12M","-5,27%"
"20.09.2020","49,14","49,61","51,61","47,78","82,88M","-3,15%"
"13.09.2020","50,74","48,35","52,17","48,30","110,83M","10,09%"
"06.09.2020","46,09","44,99","46,48","44,45","70,53M","-0,84%"
"30.08.2020","46,48","45,35","48,19","44,89","93,23M","1,73%"
"23.08.2020","45,69","43,12","45,82","42,89","79,06M","7,10%"
"16.08.2020","42,66","45,90","45,94","42,25","94,80M","-6,45%"
"09.08.2020","45,60","48,85","49,74","45,30","113,86M","-6,46%"
"02.08.2020","48,75","50,39","51,48","48,05","89,95M","-2,61%"
"26.07.2020","50,06","50,60","51,71","49,11","81,40M","0,07%"
"19.07.2020","50,02","49,66","54,20","49,53","104,43M","1,11%"
"12.07.2020","49,47","51,31","52,28","47,95","85,68M","-2,43%"
"05.07.2020","50,70","50,75","51,43","48,73","88,07M","1,75%"
"28.06.2020","49,83","48,69","52,47","47,58","116,30M","2,76%"
"21.06.2020","48,49","51,10","51,40","47,28","90,39M","-4,60%"
"14.06.2020","50,83","47,36","52,75","47,10","94,29M","4,40%"
"07.06.2020","48,69","54,49","54,64","47,36","113,65M","-9,36%"
"31.05.2020","53,72","47,49","54,82","45,57","148,54M","12,13%"
"24.05.2020","47,91","46,22","49,58","43,90","145,06M","6,61%"
"17.05.2020","44,94","45,83","47,04","44,24","86,42M","1,19%"
"10.05.2020","44,41","47,74","48,73","42,51","135,56M","-7,96%"
"03.05.2020","48,25","44,19","48,46","43,61","98,21M","7,08%"
"26.04.2020","45,06","45,00","50,14","44,52","134,42M","2,04%"
"19.04.2020","44,16","44,52","45,08","41,19","123,21M","-3,37%"
"12.04.2020","45,70","44,90","48,38","44,39","128,56M","-0,93%"
"05.04.2020","46,13","43,35","49,81","43,34","140,08M","11,91%"
"29.03.2020","41,22","44,17","45,57","39,33","167,92M","-5,20%"
"22.03.2020","43,48","36,99","45,75","35,69","247,32M","20,41%"
"15.03.2020","36,11","37,35","39,14","31,13","176,95M","-16,00%"
"08.03.2020","42,99","45,48","48,60","38,00","176,82M","-16,48%"
"01.03.2020","51,47","53,20","55,61","50,00","154,92M","-2,07%"
"23.02.2020","52,56","53,31","55,46","48,39","179,95M","-7,77%"
"16.02.2020","56,99","57,07","60,25","55,89","92,73M","-2,58%"
"09.02.2020","58,50","56,30","61,19","56,20","134,49M","2,85%"
"02.02.2020","56,88","53,25","59,17","53,00","104,53M","7,14%"
"26.01.2020","53,09","55,15","57,19","52,70","124,50M","-8,09%"
"19.01.2020","57,76","57,37","60,56","57,24","102,13M","0,17%"
"12.01.2020","57,66","57,01","58,30","55,84","107,66M","1,75%"
"05.01.2020","56,67","53,75","58,48","53,16","140,40M","3,92%"
"29.12.2019","54,53","53,77","55,49","52,66","65,59M","0,93%"
"22.12.2019","54,03","55,23","56,11","53,88","63,08M","-1,87%"
"15.12.2019","55,06","52,76","55,93","52,37","207,34M","7,54%"
"08.12.2019","51,20","47,56","52,32","46,43","124,70M","6,82%"
"01.12.2019","47,93","47,57","48,33","44,55","87,38M","0,88%"
"24.11.2019","47,51","46,10","48,27","45,94","54,53M","3,58%"
"17.11.2019","45,87","47,95","48,41","45,04","81,18M","-3,86%"
