"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.02.2021","257,29","258,71","265,30","245,55","9,28M","1,10%"
"21.02.2021","254,50","253,24","262,97","245,38","8,63M","-0,05%"
"14.02.2021","254,64","264,00","265,46","253,00","6,48M","-3,18%"
"07.02.2021","263,00","256,76","263,13","251,56","10,28M","3,13%"
"31.01.2021","255,01","237,38","255,40","235,32","13,47M","8,36%"
"24.01.2021","235,34","252,45","254,84","234,79","11,96M","-7,38%"
"17.01.2021","254,08","253,93","257,28","247,62","8,16M","0,60%"
"10.01.2021","252,56","243,00","258,34","242,72","16,48M","3,10%"
"03.01.2021","244,96","260,40","260,50","242,42","20,91M","-5,65%"
"27.12.2020","259,62","269,84","270,10","257,51","11,61M","-3,42%"
"20.12.2020","268,82","271,66","276,64","267,19","12,55M","-2,45%"
"13.12.2020","275,57","296,00","296,35","274,96","30,04M","-4,80%"
"06.12.2020","289,47","296,90","305,66","286,19","12,33M","-1,83%"
"29.11.2020","294,88","287,99","298,98","280,54","12,56M","2,60%"
"22.11.2020","287,41","280,21","296,08","280,20","9,70M","3,87%"
"15.11.2020","276,69","273,52","289,76","270,42","12,43M","1,76%"
"08.11.2020","271,91","274,24","274,50","256,35","14,24M","-2,81%"
"01.11.2020","279,77","262,70","284,30","259,01","11,61M","7,82%"
"25.10.2020","259,47","279,99","280,50","255,56","13,66M","-8,50%"
"18.10.2020","283,56","284,81","293,30","274,02","16,07M","-0,11%"
"11.10.2020","283,87","272,26","287,16","271,32","11,05M","4,54%"
"04.10.2020","271,55","258,80","275,00","257,73","12,73M","6,41%"
"27.09.2020","255,20","255,27","259,95","249,12","13,90M","2,01%"
"20.09.2020","250,17","237,95","251,90","230,27","16,10M","3,04%"
"13.09.2020","242,78","240,99","256,18","230,51","42,12M","4,29%"
"06.09.2020","232,79","223,79","233,67","219,72","12,65M","2,95%"
"30.08.2020","226,12","221,80","231,58","217,40","12,31M","1,90%"
"23.08.2020","221,90","212,96","223,66","211,99","12,08M","5,42%"
"16.08.2020","210,49","210,00","212,94","204,18","11,49M","0,91%"
"09.08.2020","208,60","188,16","209,64","187,34","31,35M","13,66%"
