"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.02.2021","498,46","555,00","557,00","467,17","52,78M","-9,14%"
"21.02.2021","548,58","590,99","605,33","528,65","62,28M","-8,12%"
"14.02.2021","597,06","602,57","614,90","583,00","27,59M","-0,23%"
"07.02.2021","598,45","549,09","611,65","549,09","50,83M","10,08%"
"31.01.2021","543,64","522,13","557,27","516,11","26,34M","4,63%"
"24.01.2021","519,59","551,27","553,14","511,75","32,16M","-5,27%"
"17.01.2021","548,50","520,65","559,97","513,76","26,75M","6,63%"
"10.01.2021","514,38","536,75","558,44","513,94","39,54M","-3,14%"
"03.01.2021","531,07","524,17","546,10","503,44","55,45M","1,70%"
"27.12.2020","522,20","522,50","528,55","510,53","20,02M","0,47%"
"20.12.2020","519,75","522,99","534,80","517,55","19,14M","-2,10%"
"13.12.2020","530,88","523,52","538,56","522,82","31,51M","1,99%"
"06.12.2020","520,53","544,05","549,25","512,92","32,84M","-4,02%"
"29.11.2020","542,33","530,60","546,94","518,89","31,74M","2,24%"
"22.11.2020","530,45","526,85","536,30","515,40","28,38M","1,33%"
"15.11.2020","523,51","526,90","545,98","522,60","53,59M","-1,57%"
"08.11.2020","531,88","582,10","587,66","505,13","58,63M","-8,69%"
"01.11.2020","582,48","506,31","583,55","495,80","42,13M","16,18%"
"25.10.2020","501,36","537,08","547,71","492,00","42,54M","-7,77%"
"18.10.2020","543,61","556,11","559,34","529,27","31,77M","-1,60%"
"11.10.2020","552,46","559,58","573,94","550,71","39,15M","0,35%"
"04.10.2020","550,51","529,44","565,68","528,91","60,20M","5,36%"
"27.09.2020","522,49","521,61","550,51","510,00","74,09M","1,46%"
"20.09.2020","514,95","477,00","515,34","476,18","83,34M","5,62%"
"13.09.2020","487,57","523,24","532,60","479,55","99,45M","0,20%"
"06.09.2020","486,58","469,38","522,61","468,17","71,69M","-3,63%"
"30.08.2020","504,90","527,31","589,07","468,19","107,40M","-3,99%"
"23.08.2020","525,91","515,35","525,92","500,30","48,89M","3,66%"
"16.08.2020","507,34","474,05","512,35","472,69","91,72M","9,68%"
"09.08.2020","462,56","453,37","468,87","431,83","49,70M","3,25%"
"02.08.2020","447,98","429,30","460,19","428,61","39,02M","5,51%"
"26.07.2020","424,59","409,29","430,66","408,37","38,59M","4,12%"
"19.07.2020","407,78","410,97","424,10","391,08","45,37M","-0,07%"
"12.07.2020","408,06","423,80","431,69","391,42","50,37M","-2,65%"
