"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.02.2021","4.722,8","4.860,0","5.133,0","4.626,8","5,58M","-1,88%"
"21.02.2021","4.813,2","5.053,4","5.067,6","4.762,0","4,46M","-3,83%"
"14.02.2021","5.005,0","5.460,0","5.549,6","4.951,2","5,74M","-8,13%"
"07.02.2021","5.448,0","5.000,0","5.459,2","4.973,2","4,81M","9,54%"
"31.01.2021","4.973,6","4.786,4","5.024,6","4.728,6","3,37M","4,47%"
"24.01.2021","4.760,6","5.039,8","5.089,0","4.713,2","4,60M","-5,09%"
"17.01.2021","5.015,8","5.002,0","5.178,0","4.965,4","3,61M","0,36%"
"10.01.2021","4.998,0","5.257,4","5.303,0","4.988,8","3,52M","-4,88%"
"03.01.2021","5.254,2","5.187,8","5.389,4","5.113,0","2,96M","1,69%"
"27.12.2020","5.167,0","5.041,0","5.183,2","4.986,2","1,16M","2,52%"
"20.12.2020","5.039,8","5.100,0","5.149,8","4.982,0","2,08M","-0,83%"
"13.12.2020","5.082,0","5.161,0","5.283,6","5.010,2","3,21M","-0,82%"
"06.12.2020","5.124,0","5.065,4","5.230,8","4.952,6","3,74M","1,16%"
"29.11.2020","5.065,2","5.099,8","5.418,4","5.055,4","6,90M","-0,97%"
"22.11.2020","5.115,0","4.750,0","5.170,0","4.680,0","4,58M","7,78%"
"15.11.2020","4.745,6","4.805,2","4.839,8","4.632,0","2,35M","-1,11%"
"08.11.2020","4.799,0","4.988,8","5.077,8","4.666,2","6,10M","-2,60%"
"01.11.2020","4.927,0","4.560,0","4.934,4","4.536,0","4,23M","8,02%"
"25.10.2020","4.561,0","4.499,8","4.655,0","4.450,2","4,56M","0,84%"
"18.10.2020","4.523,2","4.551,8","4.571,8","4.263,6","7,04M","-0,15%"
"11.10.2020","4.530,0","4.697,8","4.885,4","4.503,0","6,31M","-3,27%"
"04.10.2020","4.683,0","4.938,0","5.010,0","4.620,8","4,81M","-4,56%"
"27.09.2020","4.907,0","4.958,0","5.131,0","4.844,8","6,36M","-0,55%"
"20.09.2020","4.934,0","4.627,0","5.653,2","4.488,2","21,96M","6,61%"
"13.09.2020","4.628,0","4.679,8","4.836,8","4.483,4","6,45M","-0,73%"
"06.09.2020","4.662,0","4.845,0","5.035,0","4.572,2","9,49M","-4,56%"
"30.08.2020","4.885,0","4.890,6","5.177,0","4.766,0","34,25M","0,83%"
"23.08.2020","4.845,0","4.800,0","5.135,8","4.761,0","13,75M","1,53%"
"16.08.2020","4.772,0","4.409,8","4.823,8","4.406,0","11,99M","8,71%"
"09.08.2020","4.389,6","4.381,0","4.554,2","4.135,2","9,32M","0,68%"
"02.08.2020","4.360,0","4.261,2","4.443,6","4.242,6","2,40M","2,42%"
"26.07.2020","4.257,0","4.035,0","4.267,6","3.971,8","3,74M","5,97%"
"19.07.2020","4.017,2","3.957,0","4.202,0","3.901,0","3,39M","1,70%"
"12.07.2020","3.950,0","3.637,0","3.966,0","3.581,2","3,16M","8,73%"
"05.07.2020","3.633,0","3.572,8","3.710,0","3.553,0","2,80M","2,35%"
"28.06.2020","3.549,6","3.431,2","3.588,0","3.380,2","1,91M","3,49%"
"21.06.2020","3.430,0","3.170,2","3.519,4","3.115,0","4,39M","8,72%"
"14.06.2020","3.155,0","2.836,0","3.176,2","2.820,4","3,77M","10,70%"
"07.06.2020","2.850,0","2.896,6","2.919,4","2.817,6","1,53M","-1,18%"
"31.05.2020","2.884,0","2.849,6","2.911,8","2.814,4","2,88M","1,79%"
"24.05.2020","2.833,2","2.914,2","2.992,8","2.811,6","2,66M","-2,47%"
"17.05.2020","2.905,0","2.885,4","3.000,0","2.870,4","2,18M","2,30%"
"10.05.2020","2.839,6","2.968,2","2.979,8","2.785,8","1,87M","-4,56%"
"03.05.2020","2.975,2","2.809,8","2.992,0","2.776,8","2,05M","4,36%"
"26.04.2020","2.850,8","2.651,6","2.924,0","2.647,0","3,62M","8,77%"
"19.04.2020","2.621,0","2.670,0","2.746,0","2.601,0","3,59M","-0,36%"
"12.04.2020","2.630,4","2.659,6","2.782,4","2.570,2","3,21M","-2,61%"
"05.04.2020","2.701,0","2.566,4","2.755,8","2.536,2","3,77M","7,18%"
"29.03.2020","2.520,0","2.577,2","2.749,4","2.493,8","4,26M","-2,96%"
"22.03.2020","2.597,0","2.368,6","2.668,0","2.295,0","5,63M","5,78%"
"15.03.2020","2.455,2","2.459,6","2.593,4","2.241,2","6,51M","-0,60%"
"08.03.2020","2.470,0","2.509,2","2.757,8","2.350,0","5,20M","-8,01%"
"01.03.2020","2.685,0","2.749,8","2.784,8","2.556,0","4,88M","0,95%"
"23.02.2020","2.659,8","2.800,0","2.869,8","2.538,4","7,77M","-8,65%"
"16.02.2020","2.911,8","2.980,0","2.996,4","2.910,6","3,21M","-3,29%"
